FishID,LTMPFishID,DateCaught,CatchLocation,CollectionLatitude,CollectionLongitude,Collector,CollectionMethod,FishTotalLength,YearBorn,LifeHistories,IncrementUp,IncrementDown,FW_residency
SFLc0046,19BAR1246,10/2/2019,burdekin,-19.7542,147.4166,FisheriesQueensland,gillnet,870,2009,SSS,NA,NA,NA
SFLc0050,19BAR1250,10/2/2019,burdekin,-19.7542,147.4166,FisheriesQueensland,gillnet,910,2011,SFF,1,4,3
SFLc0054,19BAR1254,10/2/2019,burdekin,-19.7542,147.4166,FisheriesQueensland,gillnet,940,2009,SFF,1,5,4
SFLc0065,19BAR1265,10/2/2019,burdekin,-19.7542,147.4166,FisheriesQueensland,gillnet,890,2014,SFF,1,5,4
SFLc0072,19BAR1272,10/2/2019,burdekin,-19.7542,147.4166,FisheriesQueensland,gillnet,900,2013,SFF,1,2,1
SFLc0087,19BAR1287,10/2/2019,burdekin,-19.7542,147.4166,FisheriesQueensland,gillnet,860,2013,SFF,1,2,1
SFLc0096,19BAR1296,12/2/2019,bowling green bay,-19.5738,147.2285,FisheriesQueensland,gillnet,640,2012,SFF,1,2,1
SFLc0112,19BAR1312,12/2/2019,bowling green bay,-19.5738,147.2285,FisheriesQueensland,gillnet,680,2012,SFF,1,7,6
SFLc0145,19BAR1345,12/2/2019,burdekin,-19.7542,147.4166,FisheriesQueensland,gillnet,850,2008,SFF,1,11,10
SFLc0228,19BAR1384,13/2/2019,bowling green bay,-19.5738,147.2285,FisheriesQueensland,gillnet,650,2015,SSS,NA,NA,NA
SFLc0229,19BAR1389,13/2/2019,bowling green bay,-19.5738,147.2285,FisheriesQueensland,gillnet,660,2011,SSS,NA,NA,NA
SFLc0237,19BAR1407,13/2/2019,bowling green bay,-19.5738,147.2285,FisheriesQueensland,gillnet,710,2010,SFF,1,2,1
SFLc0249,19BAR1426,13/2/2019,bowling green bay,-19.5738,147.2285,FisheriesQueensland,gillnet,590,2014,SSS,NA,NA,NA
SFLc0280,19BAR1457,13/2/2019,dry tropics,-19.5,147.5,FisheriesQueensland,gillnet,980,2010,SFF,1,10,9
SFLc0282,19BAR1458,13/2/2019,dry tropics,-19.5,147.5,FisheriesQueensland,gillnet,990,2011,SFF,1,9,8
SFLc0288,19BAR1463,13/2/2019,dry tropics,-19.5,147.5,FisheriesQueensland,gillnet,840,2008,SSS,NA,NA,NA
SFLc0293,19BAR1468,13/2/2019,dry tropics,-19.5,147.5,FisheriesQueensland,gillnet,860,2010,SFF,1,2,1
SFLc0312,19BAR1487,13/2/2019,dry tropics,-19.5,147.5,FisheriesQueensland,gillnet,830,2013,SSS,NA,NA,NA
SFLc0316,19BAR1491,13/2/2019,dry tropics,-19.5,147.5,FisheriesQueensland,gillnet,770,2012,SSS,NA,NA,NA
SFLc0356,19BAR1192,14/2/2019,bowling green bay,-19.5738,147.2285,FisheriesQueensland,gillnet,680,2012,SFF,1,2,1
