library-id,specimen_id,sample_id,Phenotype
616648,SFLc0046,614643,SSS
616649,SFLc0050,614644,SFF
616650,SFLc0054,614645,SFF
616651,SFLc0065,614646,SFF
616652,SFLc0072,614647,SFF
616653,SFLc0087,614648,SFF
616654,SFLc0096,614649,SFF
616655,SFLc0112,614650,SFF
616656,SFLc0145,614651,SFF
616657,SFLc0228,614652,SSS
616658,SFLc0229,614653,SSS
616659,SFLc0237,614654,SFF
616660,SFLc0249,614655,SSS
616661,SFLc0280,614656,SFF
616662,SFLc0282,614657,SFF
616663,SFLc0288,614658,SSS
616664,SFLc0293,614659,SFF
616665,SFLc0312,614660,SSS
616666,SFLc0316,614661,SSS
616667,SFLc0356,614662,SFF
616668,SFLc0383,614663,SSS
616669,SFLc0398,614664,SSS
616670,SFLc0403,614665,SFF
616671,SFLc0406,614666,SSS
616672,SFLc0423,614667,SSS
616673,SFLc0427,614668,SSS
616674,SFLc0428,614669,SFF
616675,SFLc0431,614670,SFF
616676,SFLc0435,614671,SFF
616677,SFLc0444,614672,SSS
616678,SFLc0468,614673,SFF
616679,SFLc0496,614674,SSS
616680,SFLc0508,614675,SSS
616681,SFLc0511,614676,SFF
616682,SFLc0581,614677,SFF
616683,SFLc0586,614678,SSS
616684,SFLc0589,614679,SSS
616685,SFLc0592,614680,SSS
616686,SFLc0604,614681,SSS
616687,SFLc0614,614682,SSS
616688,SFLc0619,614683,SFF
616689,SFLc0625,614684,SFF
616690,SFLc0631,614685,SSS
616691,SFLc0638,614686,SSS
616692,SFLc0642,614687,SSS
616693,SFLc0650,614688,SSS
616694,SFLc0651,614689,SSS
616695,SFLc0680,614690,SFF
616696,SFLc0683,614691,SSS
616697,SFLc0714,614692,SFF
616698,SFLc0724,614693,SFF
616699,SFLc1460,614694,SFF
