library_id,specimen_id,sample_id,Phenotype,Aligned,Dedup,Coverage,Pheno
WJC9162,WJC9162,WJC9162,SFF,213111602,186681215,32.3199,1
WJC9163,WJC9163,WJC9163,SFF,257583247,206746033,33.895,1
WJC9164,WJC9164,WJC9164,SFF,273269251,225916495,35.5161,1
WJC9166,WJC9166,WJC9166,SFF,230103711,197931232,31.6638,1
WJC9187,WJC9187,WJC9187,SFF,258073205,221004084,36.3827,1
WJC9196,WJC9196,WJC9196,SFF,210898335,179593199,28.9462,1
WJC9556,WJC9556,WJC9556,SFF,212286744,179789424,30.58,1
WJC9558,WJC9558,WJC9558,SFF,182258858,160381793,27.9758,1
WJC9559,WJC9559,WJC9559,SFF,213454180,176211095,29.0693,1
WJC9560,WJC9560,WJC9560,SFF,341617052,275059504,42.7225,1
WJC9188,WJC9188,WJC9188,SFF,207927816,175269565,27.8819,1
